title,description,hskLevel,duration,views,sourceType,sourceUrl
"Bé say mê nói tiếng Trung cùng Robot",Video hsk2,2,00:57,10561,youtube,https://youtube.com/embed/
"Rùa và Thỏ chạy đua",Video hsk4,4,01:35,2050,youtube,https://youtube.com/embed/
"[Truyện đơn] Nhìn bên trái, nhìn bên phải",Video hsk3,3,01:23,10087,youtube,https://youtube.com/embed/
"[Lớp học của cô Kelly] 16: Dậy đi!",Video hsk1,1,01:01,3219,youtube,https://youtube.com/embed/
"Giữ bình tĩnh dưới áp lực - Noa Kageyama và Pen-Pen Chen",Video hsk6,6,04:22,12921,youtube,https://youtube.com/embed/
"Liệu 100% năng lượng tái tạo có thể cấp điện cho toàn cầu? - Federico Rosei và Renzo Rosei",Video hsk6,6,05:55,6178,youtube,https://youtube.com/embed/
"Hội chứng kẻ mạo danh là gì và cách vượt qua nó? - Elizabeth Cox",Video hsk6,6,04:19,7579,youtube,https://youtube.com/embed/
"Nên dùng loại túi nào? - Luka Seamus Wright và Imogen Ellen Napper",Video hsk6,6,04:50,5093,youtube,https://youtube.com/embed/
"【Ba tôi là rồng】Bí quyết kiếm tiền nhẹ nhàng...",Video hsk4,4,00:36,7772,youtube,https://youtube.com/embed/
"【Bố tôi là rồng】 Vợ nói: Ít tự vấn bản thân, nhiều chất vấn người khác...",Video hsk6,6,01:22,6375,youtube,https://youtube.com/embed/
"【Bố tôi là rồng】Những việc phải làm trước khi đi làm!",Video hsk5,5,02:16,5437,youtube,https://youtube.com/embed/
"【Bố tôi là rồng】Thanh xuân vô giá, hãy sống trọn vẹn. 《Bố tôi là rồng》",Video hsk6,6,01:38,4023,youtube,https://youtube.com/embed/
"Hoạt hình siêu hài [ Tây Du Ngốc Nghếch] Ngưu Miêu Vương: Không ổn rồi, Na Tra đến cứu Đường Tăng rồi!!",Video hsk6,6,02:01,12112,youtube,https://youtube.com/embed/
"[Tây Du Ký] Tập 12: Cá cược",Video hsk6,6,06:11,6858,youtube,https://youtube.com/embed/
"[Tây Du Ký] 1: Thạch Hầu ra đời",Video hsk6,6,06:50,3334,youtube,https://youtube.com/embed/
