title,explanation,hskLevel,grammarPattern,videoUrl,exampleSentences,exampleTranslations,usageNote
Câu khẳng định với 是,Structure: A + 是 + B (A is B),1,A + 是 + B,https://www.youtube.com/embed/grammar_hsk1_1,我是学生|他是老师|这是书,Tôi là học sinh|Anh ấy là giáo viên|Đây là sách,Dùng để giới thiệu hoặc khẳng định
Câu phủ định với 不,Structure: 不 + verb (negation),1,Subject + 不 + Verb,https://www.youtube.com/embed/grammar_hsk1_2,不去|不吃|不是,Không đi|Không ăn|Không phải,Đặt 不 trước động từ
Câu hỏi với 吗,Add 吗 at the end for yes-no questions,1,Sentence + 吗？,https://www.youtube.com/embed/grammar_hsk1_3,你好吗？|你是学生吗？|你去吗？,Bạn khỏe không?|Bạn là học sinh à?|Bạn đi không?,Thêm 吗 cuối câu khẳng định
Đại từ nhân xưng,Personal pronouns: 我/你/他/她/我们/你们/他们,1,我/你/他/她 + Verb,https://www.youtube.com/embed/grammar_hsk1_4,我爱你|你去|他来,Tôi yêu bạn|Bạn đi|Anh ấy đến,Không thay đổi hình thái
Số đếm 1-10,Numbers 1-10: 一二三四五六七八九十,1,Number + Measure Word + Noun,https://www.youtube.com/embed/grammar_hsk1_5,一个人|三本书|五个苹果,Một người|Ba quyển sách|Năm quả táo,Số + lượng từ + danh từ
Câu hỏi với 什么,Question word 什么 (what),1,什么 + Noun？,https://www.youtube.com/embed/grammar_hsk1_6,你叫什么？|这是什么？|你要什么？,Bạn tên gì?|Đây là gì?|Bạn muốn gì?,Đặt 什么 trước danh từ
Trợ từ 的,Possessive particle 的,1,Noun/Pronoun + 的 + Noun,https://www.youtube.com/embed/grammar_hsk1_7,我的书|他的朋友|妈妈的手机,Sách của tôi|Bạn của anh ấy|Điện thoại của mẹ,Biểu thị sở hữu
Câu hỏi với 谁,Question word 谁 (who),1,谁是 + Noun？,https://www.youtube.com/embed/grammar_hsk1_8,他是谁？|谁来了？|这是谁的书？,Anh ấy là ai?|Ai đến?|Sách của ai?,Có thể làm chủ ngữ/tân ngữ
Phó từ 很 (very),Adverb 很 before adjectives,1,Subject + 很 + Adjective,https://www.youtube.com/embed/grammar_hsk1_9,很好|很大|很高兴,Rất tốt|Rất lớn|Rất vui,Không cần động từ 是
Động từ 在 (at/in),Verb 在 indicating location,1,Subject + 在 + Place,https://www.youtube.com/embed/grammar_hsk1_10,我在家|他在学校|她在医院,Tôi ở nhà|Anh ấy ở trường|Cô ấy ở bệnh viện,Chỉ vị trí
