simplifiedChinese,pinyin,englishMeaning,vietnameseMeaning,partOfSpeech,hskLevel,exampleSentence,exampleTranslation
零钱,língqián,change (money),tiền lẻ,noun,2,有零钱吗？,Có tiền lẻ không?
硬币,yìngbì,coin,tiền xu,noun,2,一枚硬币。,Một đồng xu.
钞票,chāopiào,banknote,tiền giấy,noun,2,一张钞票。,Một tờ tiền.
护照,hùzhào,passport,hộ chiếu,noun,2,检查护照。,Kiểm tra hộ chiếu.
签证,qiānzhèng,visa,thị thực,noun,2,办签证。,Làm visa.
地址,dìzhǐ,address,địa chỉ,noun,2,你的地址？,Địa chỉ của bạn?
邮件,yóujiàn,mail,thư,noun,2,发邮件。,Gửi thư.
快递,kuàidì,express delivery,chuyển phát nhanh,noun,2,寄快递。,Gửi chuyển phát nhanh.
包裹,bāoguǒ,parcel,bưu kiện,noun,2,取包裹。,Lấy bưu kiện.
邮票,yóupiào,stamp,tem,noun,2,一张邮票。,Một con tem.
明信片,míngxìnpiàn,postcard,bưu thiếp,noun,2,寄明信片。,Gửi bưu thiếp.
信封,xìnfēng,envelope,phong bì,noun,2,一个信封。,Một phong bì.
杂志,zázhì,magazine,tạp chí,noun,2,看杂志。,Đọc tạp chí.
字典,zìdiǎn,dictionary,từ điển,noun,2,查字典。,Tra từ điển.
故事,gùshì,story,câu chuyện,noun,2,讲故事。,Kể chuyện.
笑话,xiàohua,joke,chuyện cười,noun,2,说笑话。,Nói chuyện cười.
区别,qūbié,difference,sự khác biệt,noun,2,有区别。,Có sự khác biệt.
变化,biànhuà,change,thay đổi,noun,2,有变化。,Có thay đổi.
发展,fāzhǎn,development,phát triển,noun,2,发展很快。,Phát triển nhanh.
生活,shēnghuó,life,cuộc sống,noun,2,生活很好。,Cuộc sống tốt.
世界,shìjiè,world,thế giới,noun,2,全世界。,Toàn thế giới.
地球,dìqiú,earth,trái đất,noun,2,地球很大。,Trái đất rất lớn.
太阳,tàiyáng,sun,mặt trời,noun,2,晒太阳。,Tắm nắng.
月亮,yuèliang,moon,mặt trăng,noun,2,月亮很美。,Trăng rất đẹp.
星星,xīngxīng,star,ngôi sao,noun,2,看星星。,Ngắm sao.
天空,tiānkōng,sky,bầu trời,noun,2,蓝色的天空。,Bầu trời xanh.
大海,dàhǎi,sea,biển,noun,2,看大海。,Ngắm biển.
河,hé,river,sông,noun,2,过河。,Qua sông.
湖,hú,lake,hồ,noun,2,湖边。,Bờ hồ.
山,shān,mountain,núi,noun,2,爬山。,Leo núi.
森林,sēnlín,forest,rừng,noun,2,森林很大。,Rừng rất lớn.
草原,cǎoyuán,grassland,thảo nguyên,noun,2,大草原。,Đại thảo nguyên.
沙漠,shāmò,desert,sa mạc,noun,2,沙漠很热。,Sa mạc rất nóng.
南方,nánfāng,south,miền nam,noun,2,南方很热。,Miền nam rất nóng.
北方,běifāng,north,miền bắc,noun,2,北方很冷。,Miền bắc rất lạnh.
东方,dōngfāng,east,phương đông,noun,2,东方国家。,Các nước phương đông.
西方,xīfāng,west,phương tây,noun,2,西方国家。,Các nước phương tây.
中间,zhōngjiān,middle,ở giữa,noun,2,中间的人。,Người ở giữa.
旁边,pángbiān,side,bên cạnh,noun,2,坐在旁边。,Ngồi bên cạnh.
前面,qiánmiàn,front,phía trước,noun,2,在前面。,Ở phía trước.
后面,hòumiàn,back,phía sau,noun,2,在后面。,Ở phía sau.
左边,zuǒbiān,left,bên trái,noun,2,左边走。,Đi bên trái.
右边,yòubiān,right,bên phải,noun,2,右边走。,Đi bên phải.
里面,lǐmiàn,inside,bên trong,noun,2,在里面。,Ở bên trong.
外面,wàimiàn,outside,bên ngoài,noun,2,在外面。,Ở bên ngoài.
上面,shàngmiàn,above,phía trên,noun,2,在上面。,Ở phía trên.
下面,xiàmiàn,below,phía dưới,noun,2,在下面。,Ở phía dưới.
筷子,kuàizi,chopsticks,đũa,noun,2,用筷子。,Dùng đũa.
勺子,sháozi,spoon,thìa,noun,2,一把勺子。,Một cái thìa.
刀,dāo,knife,dao,noun,2,一把刀。,Một con dao.
叉子,chāzi,fork,nĩa,noun,2,用叉子。,Dùng nĩa.
锅,guō,pot,wok,nồi,noun,2,一口锅。,Một cái nồi.
盘子,pánzi,plate,đĩa,noun,2,一个盘子。,Một cái đĩa.
碗,wǎn,bowl,bát,noun,2,一碗饭。,Một bát cơm.
杯子,bēizi,cup,cốc,noun,2,一杯水。,Một cốc nước.
瓶子,píngzi,bottle,chai,noun,2,一瓶水。,Một chai nước.
冰箱,bīngxiāng,fridge,tủ lạnh,noun,2,冰箱里有鸡蛋。,Tủ lạnh có trứng.
洗衣机,xǐyījī,washing machine,máy giặt,noun,2,用洗衣机。,Dùng máy giặt.
空调,kōngtiáo,air conditioner,máy lạnh,noun,2,开空调。,Mở máy lạnh.
电视,diànshì,TV,tivi,noun,2,看电视。,Xem tivi.
电脑,diànnǎo,computer,máy tính,noun,2,用电脑。,Dùng máy tính.
手机,shǒujī,phone,điện thoại,noun,2,打电话。,Gọi điện thoại.
相机,xiàngjī,camera,máy ảnh,noun,2,用相机拍照。,Dùng máy ảnh chụp.
沙发,shāfā,sofa,ghế sô pha,noun,2,坐沙发。,Ngồi ghế sô pha.
桌子,zhuōzi,table,bàn,noun,2,桌子上有书。,Trên bàn có sách.
椅子,yǐzi,chair,ghế,noun,2,坐椅子。,Ngồi ghế.
床,chuáng,bed,giường,noun,2,在床上。,Trên giường.
窗户,chuānghù,window,cửa sổ,noun,2,开窗户。,Mở cửa sổ.
门,mén,door,cửa,noun,2,开门。,Mở cửa.
钥匙,yàoshi,key,chìa khóa,noun,2,一把钥匙。,Một chìa khóa.
锁,suǒ,lock,khóa,noun,2,锁门。,Khóa cửa.
楼梯,lóutī,stairs,cầu thang,noun,2,上楼梯。,Lên cầu thang.
电梯,diàntī,elevator,thang máy,noun,2,坐电梯。,Đi thang máy.
灯,dēng,lamp,đèn,noun,2,开灯。,Bật đèn.
蜡烛,làzhú,candle,nến,noun,2,点蜡烛。,Thắp nến.
