title,explanation,hskLevel,grammarPattern,videoUrl,exampleSentences,exampleTranslations,usageNote
Câu đảo ngữ,Inversion for emphasis,5,Verb + 的 + 是 + Subject,https://www.youtube.com/embed/grammar_hsk5_1,来的是我的朋友,Người đến là bạn tôi,Đảo chủ ngữ-vị ngữ
Cấu trúc 关于 / 至于,Regarding/As for with 关于/至于,5,关于 + Topic + Clause,https://www.youtube.com/embed/grammar_hsk5_2,关于这个问题我们讨论一下,Về vấn đề này chúng tôi thảo luận một chút,Giới thiệu chủ đề
Cấu trúc 之所以...是因为...,The reason...is because,5,之所以 + Result + 是因为 + Reason,https://www.youtube.com/embed/grammar_hsk5_3,之所以成功是因为努力,Lý do thành công là vì cố gắng,Nhấn mạnh nguyên nhân
Cấu trúc 拿...来说,Taking...as an example,5,拿 + Noun + 来说,https://www.youtube.com/embed/grammar_hsk5_4,拿学习来说需要耐心,Lấy việc học làm ví dụ cần kiên nhẫn,Đưa ra ví dụ
Cấu trúc 从...来看/来说,From the perspective of,5,从 + Aspect + 来看/来说,https://www.youtube.com/embed/grammar_hsk5_5,从经济来看,Từ góc độ kinh tế,Nêu quan điểm
Cấu trúc 在...方面,In the aspect of,5,在 + Aspect + 方面,https://www.youtube.com/embed/grammar_hsk5_6,在学习方面他很努力,Trong phương diện học tập anh ấy rất cố gắng,Giới hạn phạm vi
Liên từ 从而 / 进而,Thus/Furthermore with 从而/进而,5,Clause1 + 从而/进而 + Clause2,https://www.youtube.com/embed/grammar_hsk5_7,加强学习从而取得进步,Tăng cường học tập từ đó đạt tiến bộ,Chỉ kết quả/bước tiếp
Cấu trúc 甚至...,Even/so much that with 甚至,5,甚至 + Extreme Case,https://www.youtube.com/embed/grammar_hsk5_8,他忙得甚至没时间吃饭,Anh ấy bận đến mức không có thời gian ăn,Nhấn mạnh mức độ
Cấu trúc 与其...不如...,Better to than with 与其,5,与其 + A + 不如 + B,https://www.youtube.com/embed/grammar_hsk5_9,与其等待不如行动,Thà hành động còn hơn chờ đợi,So sánh lựa chọn
Cấu trúc 以...,In order to (formal) with 以,5,以 + Goal,https://www.youtube.com/embed/grammar_hsk5_10,以方便学生参考,Để tiện cho học sinh tham khảo,Mục đích trang trọng
