simplifiedChinese,pinyin,englishMeaning,vietnameseMeaning,partOfSpeech,hskLevel,exampleSentence,exampleTranslation
学术,xuéshù,academic,học thuật,noun,5,学术研究。,Nghiên cứu học thuật.
理论,lǐlùn,theory,lý thuyết,noun,5,理论知识。,Kiến thức lý thuyết.
实践,shíjiàn,practice,thực hành,noun,5,实践活动。,Hoạt động thực hành.
概念,gàiniàn,concept,khái niệm,noun,5,基本概念。,Khái niệm cơ bản.
体系,tǐxì,system,hệ thống,noun,5,教育体系。,Hệ thống giáo dục.
结构,jiégòu,structure,cấu trúc,noun,5,经济结构。,Cấu trúc kinh tế.
模式,móshì,model,mô hình,noun,5,发展模式。,Mô hình phát triển.
机制,jīzhì,mechanism,cơ chế,noun,5,市场机制。,Cơ chế thị trường.
因素,yīnsù,factor,yếu tố,noun,5,关键因素。,Yếu tố then chốt.
要素,yàosù,essential element,yếu tố,noun,5,生产要素。,Yếu tố sản xuất.
指标,zhǐbiāo,index/chỉ tiêu,chỉ tiêu,noun,5,经济指标。,Chỉ tiêu kinh tế.
数据,shùjù,data,dữ liệu,noun,5,数据分析。,Phân tích dữ liệu.
资料,zīliào,data/materials,tư liệu,noun,5,参考资料。,Tư liệu tham khảo.
信息,xìnxī,information,thông tin,noun,5,信息技术。,Công nghệ thông tin.
网络,wǎngluò,network,mạng,noun,5,网络技术。,Công nghệ mạng.
系统,xìtǒng,system,hệ thống,noun,5,操作系统。,Hệ điều hành.
软件,ruǎnjiàn,software,phần mềm,noun,5,软件开发。,Phát triển phần mềm.
硬件,yìngjiàn,hardware,phần cứng,noun,5,硬件设备。,Thiết bị phần cứng.
程序,chéngxù,procedure/program,chương trình,noun,5,应用程序。,Ứng dụng chương trình.
功能,gōngnéng,function,chức năng,noun,5,主要功能。,Chức năng chính.
效率,xiàolǜ,efficiency,hiệu suất,noun,5,提高效率。,Nâng cao hiệu suất.
效果,xiàoguǒ,effect,hiệu quả,noun,5,学习效果。,Hiệu quả học tập.
效益,xiàoyì,benefit,lợi ích,noun,5,经济效益。,Lợi ích kinh tế.
优势,yōushì,advantage,ưu thế,noun,5,竞争优势。,Ưu thế cạnh tranh.
劣势,lièshì,disadvantage,thế yếu,noun,5,处于劣势。,Ở thế yếu.
